Year,Annual Return,Annual Risk-Free Return,Annual Volatility,Annualized Sharpe Ratio,Trading Days
2022,-0.19953050663444405,0.019772169720548405,0.24211389136415462,-0.8870404451861219,250
2023,0.24230500797629828,0.050037311016289276,0.13092855707414913,1.3603472241706727,250
2024,0.23309002343423724,0.04953608423097644,0.12649797732829857,1.3379064749949803,252
